id,category,question_text,choice_1,choice_2,choice_3,choice_4,correct_choice_index,explanation,is_premium,year
sample-001,解剖学,上腕骨に存在する部位はどれか。,大転子,結節間溝,粗線,内果,1,結節間溝は上腕骨近位部にある構造です。,false,2026
sample-002,生理学,呼吸運動の主な吸気筋はどれか。,横隔膜,腹直筋,内肋間筋,広背筋,0,安静吸気では横隔膜の収縮が中心的な役割を担います。,false,2026
sample-003,運動学,運動学の基礎事項として正しいものはどれか。,運動学の重要ポイント,運動学と無関係な選択肢A,運動学と無関係な選択肢B,運動学と無関係な選択肢C,0,運動学は国家試験で頻出のため基礎事項を整理して覚えます。,false,2026
sample-004,病理学,病理学の基礎事項として正しいものはどれか。,病理学の重要ポイント,病理学と無関係な選択肢A,病理学と無関係な選択肢B,病理学と無関係な選択肢C,0,病理学は国家試験で頻出のため基礎事項を整理して覚えます。,false,2026
sample-005,一般臨床医学,一般臨床医学の基礎事項として正しいものはどれか。,一般臨床医学の重要ポイント,一般臨床医学と無関係な選択肢A,一般臨床医学と無関係な選択肢B,一般臨床医学と無関係な選択肢C,0,一般臨床医学は国家試験で頻出のため基礎事項を整理して覚えます。,false,2026
sample-006,柔道整復理論,柔道整復理論の基礎事項として正しいものはどれか。,柔道整復理論の重要ポイント,柔道整復理論と無関係な選択肢A,柔道整復理論と無関係な選択肢B,柔道整復理論と無関係な選択肢C,0,柔道整復理論は国家試験で頻出のため基礎事項を整理して覚えます。,false,2026
sample-007,関係法規,関係法規の基礎事項として正しいものはどれか。,関係法規の重要ポイント,関係法規と無関係な選択肢A,関係法規と無関係な選択肢B,関係法規と無関係な選択肢C,0,関係法規は国家試験で頻出のため基礎事項を整理して覚えます。,false,2026
sample-008,解剖学,解剖学の基礎事項として正しいものはどれか。,解剖学の重要ポイント,解剖学と無関係な選択肢A,解剖学と無関係な選択肢B,解剖学と無関係な選択肢C,0,解剖学は国家試験で頻出のため基礎事項を整理して覚えます。,false,2026
sample-009,生理学,生理学の基礎事項として正しいものはどれか。,生理学の重要ポイント,生理学と無関係な選択肢A,生理学と無関係な選択肢B,生理学と無関係な選択肢C,0,生理学は国家試験で頻出のため基礎事項を整理して覚えます。,false,2026
sample-010,運動学,運動学の基礎事項として正しいものはどれか。,運動学の重要ポイント,運動学と無関係な選択肢A,運動学と無関係な選択肢B,運動学と無関係な選択肢C,0,運動学は国家試験で頻出のため基礎事項を整理して覚えます。,false,2026
sample-011,病理学,病理学の基礎事項として正しいものはどれか。,病理学の重要ポイント,病理学と無関係な選択肢A,病理学と無関係な選択肢B,病理学と無関係な選択肢C,0,病理学は国家試験で頻出のため基礎事項を整理して覚えます。,false,2026
sample-012,一般臨床医学,一般臨床医学の基礎事項として正しいものはどれか。,一般臨床医学の重要ポイント,一般臨床医学と無関係な選択肢A,一般臨床医学と無関係な選択肢B,一般臨床医学と無関係な選択肢C,0,一般臨床医学は国家試験で頻出のため基礎事項を整理して覚えます。,false,2026
sample-013,柔道整復理論,柔道整復理論の基礎事項として正しいものはどれか。,柔道整復理論の重要ポイント,柔道整復理論と無関係な選択肢A,柔道整復理論と無関係な選択肢B,柔道整復理論と無関係な選択肢C,0,柔道整復理論は国家試験で頻出のため基礎事項を整理して覚えます。,false,2026
sample-014,関係法規,関係法規の基礎事項として正しいものはどれか。,関係法規の重要ポイント,関係法規と無関係な選択肢A,関係法規と無関係な選択肢B,関係法規と無関係な選択肢C,0,関係法規は国家試験で頻出のため基礎事項を整理して覚えます。,false,2026
sample-015,解剖学,解剖学の基礎事項として正しいものはどれか。,解剖学の重要ポイント,解剖学と無関係な選択肢A,解剖学と無関係な選択肢B,解剖学と無関係な選択肢C,0,解剖学は国家試験で頻出のため基礎事項を整理して覚えます。,false,2026
sample-016,生理学,生理学の基礎事項として正しいものはどれか。,生理学の重要ポイント,生理学と無関係な選択肢A,生理学と無関係な選択肢B,生理学と無関係な選択肢C,0,生理学は国家試験で頻出のため基礎事項を整理して覚えます。,false,2026
sample-017,運動学,運動学の基礎事項として正しいものはどれか。,運動学の重要ポイント,運動学と無関係な選択肢A,運動学と無関係な選択肢B,運動学と無関係な選択肢C,0,運動学は国家試験で頻出のため基礎事項を整理して覚えます。,false,2026
sample-018,病理学,病理学の基礎事項として正しいものはどれか。,病理学の重要ポイント,病理学と無関係な選択肢A,病理学と無関係な選択肢B,病理学と無関係な選択肢C,0,病理学は国家試験で頻出のため基礎事項を整理して覚えます。,false,2026
sample-019,一般臨床医学,一般臨床医学の基礎事項として正しいものはどれか。,一般臨床医学の重要ポイント,一般臨床医学と無関係な選択肢A,一般臨床医学と無関係な選択肢B,一般臨床医学と無関係な選択肢C,0,一般臨床医学は国家試験で頻出のため基礎事項を整理して覚えます。,false,2026
sample-020,柔道整復理論,柔道整復理論の基礎事項として正しいものはどれか。,柔道整復理論の重要ポイント,柔道整復理論と無関係な選択肢A,柔道整復理論と無関係な選択肢B,柔道整復理論と無関係な選択肢C,0,柔道整復理論は国家試験で頻出のため基礎事項を整理して覚えます。,false,2026
sample-021,関係法規,関係法規の基礎事項として正しいものはどれか。,関係法規の重要ポイント,関係法規と無関係な選択肢A,関係法規と無関係な選択肢B,関係法規と無関係な選択肢C,0,関係法規は国家試験で頻出のため基礎事項を整理して覚えます。,false,2026
sample-022,解剖学,解剖学の基礎事項として正しいものはどれか。,解剖学の重要ポイント,解剖学と無関係な選択肢A,解剖学と無関係な選択肢B,解剖学と無関係な選択肢C,0,解剖学は国家試験で頻出のため基礎事項を整理して覚えます。,false,2026
sample-023,生理学,生理学の基礎事項として正しいものはどれか。,生理学の重要ポイント,生理学と無関係な選択肢A,生理学と無関係な選択肢B,生理学と無関係な選択肢C,0,生理学は国家試験で頻出のため基礎事項を整理して覚えます。,false,2026
sample-024,運動学,運動学の基礎事項として正しいものはどれか。,運動学の重要ポイント,運動学と無関係な選択肢A,運動学と無関係な選択肢B,運動学と無関係な選択肢C,0,運動学は国家試験で頻出のため基礎事項を整理して覚えます。,false,2026
sample-025,病理学,病理学の基礎事項として正しいものはどれか。,病理学の重要ポイント,病理学と無関係な選択肢A,病理学と無関係な選択肢B,病理学と無関係な選択肢C,0,病理学は国家試験で頻出のため基礎事項を整理して覚えます。,false,2026
sample-026,一般臨床医学,一般臨床医学の基礎事項として正しいものはどれか。,一般臨床医学の重要ポイント,一般臨床医学と無関係な選択肢A,一般臨床医学と無関係な選択肢B,一般臨床医学と無関係な選択肢C,0,一般臨床医学は国家試験で頻出のため基礎事項を整理して覚えます。,false,2026
sample-027,柔道整復理論,柔道整復理論の基礎事項として正しいものはどれか。,柔道整復理論の重要ポイント,柔道整復理論と無関係な選択肢A,柔道整復理論と無関係な選択肢B,柔道整復理論と無関係な選択肢C,0,柔道整復理論は国家試験で頻出のため基礎事項を整理して覚えます。,false,2026
sample-028,関係法規,関係法規の基礎事項として正しいものはどれか。,関係法規の重要ポイント,関係法規と無関係な選択肢A,関係法規と無関係な選択肢B,関係法規と無関係な選択肢C,0,関係法規は国家試験で頻出のため基礎事項を整理して覚えます。,false,2026
sample-029,解剖学,解剖学の基礎事項として正しいものはどれか。,解剖学の重要ポイント,解剖学と無関係な選択肢A,解剖学と無関係な選択肢B,解剖学と無関係な選択肢C,0,解剖学は国家試験で頻出のため基礎事項を整理して覚えます。,false,2026
sample-030,生理学,生理学の基礎事項として正しいものはどれか。,生理学の重要ポイント,生理学と無関係な選択肢A,生理学と無関係な選択肢B,生理学と無関係な選択肢C,0,生理学は国家試験で頻出のため基礎事項を整理して覚えます。,false,2026
sample-031,運動学,運動学の基礎事項として正しいものはどれか。,運動学の重要ポイント,運動学と無関係な選択肢A,運動学と無関係な選択肢B,運動学と無関係な選択肢C,0,運動学は国家試験で頻出のため基礎事項を整理して覚えます。,true,2026
